"model","fold","n_validation","positives","auc"
"Logistica_principal",1,6331,740,0.912146693286024
"Logistica_principal",2,6330,740,0.895518541797612
"Logistica_principal",3,6329,739,0.89408619199663
"Logistica_principal",4,6329,739,0.90993824754721
"Logistica_principal",5,6329,739,0.906174276992794
"Logistica_transformada",1,6331,740,0.912339087432988
"Logistica_transformada",2,6330,740,0.897902383600058
"Logistica_transformada",3,6329,739,0.89770637204945
"Logistica_transformada",4,6329,739,0.911993919162626
"Logistica_transformada",5,6329,739,0.905337919782329
"Logistica_splines",1,6331,740,0.917211783416398
"Logistica_splines",2,6330,740,0.901279795000725
"Logistica_splines",3,6329,739,0.902476149900388
"Logistica_splines",4,6329,739,0.914377839801889
"Logistica_splines",5,6329,739,0.910124642641872
"LDA_transformado",1,6331,740,0.909164825709272
"LDA_transformado",2,6330,740,0.893576608809167
"LDA_transformado",3,6329,739,0.894678299011622
"LDA_transformado",4,6329,739,0.907014023204979
"LDA_transformado",5,6329,739,0.89963422988567
