"term","LD1"
"Age",0.019835938583459
"Jobadmin.",0.0191556160369045
"Jobentrepreneur",-0.0191446844166894
"Jobhousemaid",-0.0285164153444032
"Jobmanagement",0.022127426203279
"Jobretired",0.049672954368214
"Jobself-employed",-0.0104595398128595
"Jobservices",0.00876718346951825
"Jobstudent",0.0835784651767131
"Jobtechnician",0.00753183590486377
"Jobunemployed",0.0224227004163457
"Jobunknown",-0.0033096572792169
"Marital.Statusdivorced",0.0328070220847378
"Marital.Statussingle",0.0890722286074597
"Educationprimary",-0.0200641164429017
"Educationtertiary",0.0540864663234519
"Educationunknown",0.00460180793024193
"Credityes",0.00569536846032428
"Balance.Signed.Log",0.0657827184206749
"Housing.Loanno",0.167372558628582
"Personal.Loanyes",-0.0592132844783884
"Contacttelephone",0.00679740109536516
"Contactunknown",-0.27926094088078
"Last.Contact.Day",0.0662053805216175
"Last.Contact.Monthapr",0.0655164550484621
"Last.Contact.Monthaug",-0.0988064867851651
"Last.Contact.Monthdec",0.0644785753187625
"Last.Contact.Monthfeb",0.0220656030472915
"Last.Contact.Monthjan",-0.105252037212965
"Last.Contact.Monthjul",-0.109540683275454
"Last.Contact.Monthjun",0.121369230496191
"Last.Contact.Monthmar",0.206473197067319
"Last.Contact.Monthnov",-0.0755183358835493
"Last.Contact.Monthoct",0.160401763132536
"Last.Contact.Monthsep",0.158373651336914
"Duration.Log",0.72368295125399
"Campaign.Log",-0.00454504838729456
"Previously.Contactedyes",-0.966633874383615
"Pdays.Log",-0.095176955511993
"Previous.Log",0.0963171018872026
"Poutcomefailure",0.791960678409209
"Poutcomeother",0.532663178121523
"Poutcomesuccess",0.981780584174109
