"term","estimate","std_error","z_value","p_value","odds_ratio","OR_CI_95_low","OR_CI_95_high"
"(Intercept)",-3.9957553966349,0.143408223275463,-27.8628052518281,0.00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000753624964778341,0.0183935467381854,0.0138865363764974,0.024363351122056
"Age",0.00198293424510261,0.00264426562519966,0.749899793048547,0.45331505914967,1.00198490155935,0.996805287608064,1.00719142989504
"Jobadmin.",0.254782531492187,0.0870862047202066,2.92563595245378,0.00343752939638492,1.29018101662221,1.08773066826754,1.53031178049206
"Jobentrepreneur",-0.190431539468126,0.151908122795665,-1.25359681867887,0.209988588139451,0.826602345428239,0.613747630761269,1.1132775154178
"Jobhousemaid",-0.387752148479113,0.165762550699555,-2.33920235205546,0.0193249634228821,0.678580509634455,0.490344659771179,0.939077236551606
"Jobmanagement",0.156388580097109,0.0884621212318308,1.76785925907502,0.0770844352042381,1.16928047394396,0.983146459544888,1.39065427482647
"Jobretired",0.419613031337069,0.114435664182359,3.6668029528661,0.000245601904110187,1.5213727181286,1.21569889001782,1.90390479622144
"Jobself-employed",-0.0142330314459664,0.133416322675278,-0.106681335241177,0.915041790412532,0.985867779298529,0.759018578799403,1.28051579421995
"Jobservices",0.102175462348363,0.0972735158366907,1.05039343411728,0.293537263159841,1.10757779287995,0.915320841526615,1.34021701640139
"Jobstudent",0.65465001347234,0.129838517398532,5.04203241525724,0.00000046061323559758,1.9244688613236,1.49207313603622,2.48217081908126
"Jobtechnician",0.114477368059333,0.0825155450327438,1.38734305171112,0.165337181254332,1.12128726386997,0.953845948431306,1.31812178914712
"Jobunemployed",0.169489583149416,0.128328266576788,1.32075019534374,0.186584671202001,1.18470000612589,0.921240802412587,1.52350406195547
"Jobunknown",0.0853995799213806,0.271373003451538,0.314694456836902,0.752993653386929,1.08915218310442,0.639869194671299,1.85389840273604
"Marital.Statusdivorced",0.152113001036636,0.0711111000659711,2.13908940932594,0.0324284279648611,1.16429179517864,1.01281668348496,1.33842126262765
"Marital.Statussingle",0.317068962277683,0.0546690487094162,5.79978927314078,0.00000000663983053847663,1.37309726057502,1.23357644214144,1.52839825939416
"Educationprimary",-0.174447205345835,0.0770667290141793,-2.26358647340202,0.0235995605754627,0.839921196407775,0.722167628778656,0.976875157597647
"Educationtertiary",0.175977444289258,0.0615376324650156,2.85967199646983,0.00424079382011163,1.19241116266607,1.05692493216837,1.34526524786733
"Educationunknown",0.052445894304508,0.11057198798728,0.474314473847947,0.635275671684587,1.05384554149002,0.848508478387824,1.30887369261003
"Credityes",-0.00821669474345061,0.190306749269857,-0.0431760553683739,0.96556119233292,0.991816970025327,0.683029025452331,1.44020365954254
"Balance..euros.",0.0000151022345779745,0.00000597610433766216,2.52710356524372,0.0115007582892697,1.00001510234862,1.00000338907582,1.00002681575862
"Housing.Loanno",0.684987516748163,0.0524892005415896,13.0500657217177,0.00000000000000000000000000000000000000634926074135675,1.98374707176832,1.7898085944971,2.19870016092704
"Personal.Loanyes",-0.420662174989856,0.0719712500225338,-5.84486409306701,0.00000000506982009181564,0.656611883861558,0.570224107122724,0.756087230691975
"Contacttelephone",-0.0714207578791696,0.0881039513414701,-0.810641938207285,0.417571325523233,0.93107005463747,0.783405762117738,1.10656761612169
"Contactunknown",-1.62873809203282,0.08716737491514,-18.6851800185385,0.00000000000000000000000000000000000000000000000000000000000000000000000000000653580192942446,0.19617697528342,0.16536731184213,0.232726801945552
"Last.Contact.Day",0.00751141381328379,0.00297745091355044,2.52276663205401,0.0116435642759855,1.00753969524886,1.00167701464162,1.0134366893358
"Last.Contact.Monthapr",0.441931885282439,0.0857104556484675,5.15610239076289,0.000000252143056065179,1.55570977009348,1.31513509239363,1.84029222759112
"Last.Contact.Monthaug",-0.259481550860688,0.0865398652733575,-2.99840483967766,0.00271396895975517,0.771451440477791,0.651095020369033,0.9140560231561
"Last.Contact.Monthdec",0.842007110071731,0.206268318695504,4.08209615221964,0.0000446313233127555,2.3210208491247,1.54917294620044,3.47742825956537
"Last.Contact.Monthfeb",0.139096938448404,0.0984767372692879,1.41248524581027,0.15780713196509,1.14923549971025,0.947510304522315,1.39390804246728
"Last.Contact.Monthjan",-0.824497733431166,0.14409204009721,-5.72202137519134,0.0000000105264060241189,0.438455158537358,0.330576184954013,0.581538945628411
"Last.Contact.Monthjul",-0.473524625145812,0.087045599461996,-5.43996052726999,0.0000000532923775593623,0.622803247210738,0.525117096613816,0.738661695148538
"Last.Contact.Monthjun",0.831133232269913,0.0924020868663774,8.99474525366309,0.000000000000000000236780689360766,2.29591907617985,1.91558899016948,2.75176169387994
"Last.Contact.Monthmar",1.91672085585837,0.140292952303529,13.6622747214805,0.00000000000000000000000000000000000000000170570997955005,6.79862819538868,5.16418175719675,8.95037152298529
"Last.Contact.Monthnov",-0.450887911218987,0.0953060158736737,-4.73094911255791,0.00000223472540389828,0.637062245706691,0.528513091815582,0.767905868728165
"Last.Contact.Monthoct",1.11726780626471,0.126515290457423,8.83108912942597,0.00000000000000000103661342345487,3.05649185681652,2.38523544123777,3.91665422593998
"Last.Contact.Monthsep",1.22916120646662,0.137541712020144,8.93664320745547,0.000000000000000000401171092044298,3.41836103428707,2.61059835776234,4.47605895636434
"Last.Contact.Duration",0.00417485032785333,0.0000774266680076378,53.9200566843648,0,1.00418357715566,1.00403119756487,1.00433597987275
"Campaign",-0.100858046369032,0.0123630447369052,-8.15802648258307,0.000000000000000340542862849041,0.904061358569967,0.882417822003491,0.926235757799713
"Pdays",0.0000964343363992654,0.0003660191392518,0.263468015897727,0.792189872534136,1.00009643898634,0.999379229581199,1.00081416310033
"Previous",0.00892289107748093,0.00649063145861564,1.37473389675156,0.169213958331087,1.00896281873844,0.996208459528773,1.02188047075825
"Poutcomefailure",0.0929171334292485,0.110214596442983,0.843056513638075,0.399196837941466,1.09737079614551,0.884172167582496,1.36197757448712
"Poutcomeother",0.245179168660931,0.128054868100577,1.91464153060047,0.0555382348975573,1.2778502434127,0.994208463168855,1.64241334195177
"Poutcomesuccess",2.33373871607265,0.1021005029241,22.8572695455528,0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000123730376128315,10.3164397603734,8.44539844518881,12.6020021459194
