"variable","variable_type","scenario","value_numeric","n","average_probability","interpretation"
"Age","numeric","29",29,31648,0.121471137200856,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Age","numeric","33",33,31648,0.108754103588747,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Age","numeric","39",39,31648,0.106533692130306,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Age","numeric","48",48,31648,0.108347606795655,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Age","numeric","56",56,31648,0.118307032992851,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Balance..euros.","numeric","0",0,31648,0.102921365714017,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Balance..euros.","numeric","72",72,31648,0.113729761464258,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Balance..euros.","numeric","452",452,31648,0.118587650135826,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Balance..euros.","numeric","1438",1438,31648,0.121745348177854,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Balance..euros.","numeric","3595.9",3595.9,31648,0.124293794218397,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Day","numeric","5",5,31648,0.113470667394471,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Day","numeric","10",10,31648,0.119290095022539,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Day","numeric","15",15,31648,0.114358599507125,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Day","numeric","20",20,31648,0.110110529972248,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Day","numeric","25",25,31648,0.120109246682936,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Day","numeric","30",30,31648,0.144747210599996,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Duration","numeric","58",58,31648,0.0110555138146417,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
"Last.Contact.Duration","numeric","103",103,31648,0.0336503349432086,"Estandarizacion marginal: una variable se fija y las demas conservan sus valores."
