"id","Subscription","fold","Logistica_principal","Logistica_transformada","Logistica_splines","LDA_transformado"
1,0,2,0.0168679757744914,0.0275572928689575,0.0268661033247338,0.0207635691501752
2,0,2,0.0109616878219968,0.00879352117919802,0.0100648371534129,0.00853657306901021
3,0,5,0.00292181650984767,0.000850901885031462,0.000768346814268024,0.00115450913905239
4,0,4,0.00636612835400075,0.00295108608325425,0.00264487159921064,0.00341048843240217
6,0,4,0.00929288810898593,0.00741915588436109,0.00971226606744463,0.00700868031532227
7,0,3,0.00994829152280347,0.0143116048314422,0.0151103124510559,0.0133951754372121
8,0,4,0.0247746389816836,0.045284383434139,0.0397858501086119,0.0274027891988735
9,0,5,0.00607082876608992,0.000961145640877207,0.000569001934273368,0.00176714314978885
10,0,4,0.00710977885267483,0.00149985983267619,0.00101826342591442,0.00214318938238308
13,0,2,0.0379622746683361,0.0606739060492112,0.0620567143502982,0.0346564146673554
14,0,2,0.00586579131998941,0.00163999333159611,0.00152854972169678,0.00220161740439659
15,0,2,0.00848016075712906,0.00882799702203928,0.0114535320568156,0.00817311945454042
16,0,2,0.0200266256643792,0.0337307352209154,0.0191592092028323,0.0271549484809674
19,0,2,0.0118737731081258,0.0138970951671312,0.010090476580208,0.0140097423026143
20,0,3,0.00488378843672033,0.000752093463525874,0.000647962618492683,0.00121163304932066
22,0,4,0.0107988288166136,0.0109870336782994,0.0150080397298808,0.00999092215766752
23,0,3,0.00480423086221222,0.00438165267368928,0.00464260416838244,0.00537397438808484
24,0,5,0.0167767439455372,0.0275535510795458,0.0400068324714469,0.0175331334616336
25,0,5,0.0071258211844281,0.00632196672896385,0.00395366747792709,0.00697563559540404
26,0,5,0.00952265179935433,0.00620144257648866,0.00649668411176935,0.00547499473977936
27,0,3,0.0222213944132359,0.0367782939879471,0.0270372131847588,0.0287403052700348
29,0,3,0.0145915757833058,0.0131293883587699,0.00921062132537223,0.0136698443925292
31,0,3,0.0139702549016502,0.0194347835752233,0.0182243363903845,0.0163611015705461
33,0,1,0.00857366544922034,0.0105779094744638,0.0119043515497025,0.00837098447493487
36,0,5,0.0122078195214632,0.0166791108181986,0.0162565927100385,0.0134554564785319
38,0,5,0.894693282586482,0.442777415881561,0.499715313963783,0.212938950169866
39,0,4,0.0571189146764109,0.103404857231923,0.101638653425121,0.0522452721049552
40,0,1,0.0123744091173628,0.00752664618248882,0.00848425156771345,0.00733990186372909
42,0,5,0.00773508204633429,0.00721121144728542,0.00758558797068835,0.00739894358694215
43,0,1,0.00470568317752347,0.000187289908696415,0.000471573773408993,0.000443108783364569
44,0,5,0.755521360102936,0.396656027118145,0.3566778291494,0.205396087031111
45,0,3,0.0635857765646582,0.0898700647796031,0.0678694687409443,0.0593266012387554
46,0,3,0.013174822917708,0.0121467673602254,0.00843763693811214,0.0110168874376223
48,0,3,0.0089878099352026,0.00868787858395431,0.00718742442728897,0.00880750222748413
49,0,3,0.0190420090246183,0.0139231688108455,0.0168917083140506,0.0133217900771493
50,0,1,0.0318155130553771,0.0458829510645789,0.0458202715086106,0.0338329176671304
