"COLUMNA";"CONTEO";"MEDIA";"MEDIANA";"STD";"MIN";"Q25";"Q50";"Q75";"MAX"
"YearBuilt";3932;2002,65;2006;8,89;1978;1993;2006;2007;2015
"YrSold";3932;2012,68;2013;2,89;2007;2010;2013;2015;2017
"MonthSold";3932;6,3;6;3,35;1;3;6;9;12
"Size.sqf.";3932;969,61;910;377,88;135;644;910;1160;2337
"Floor";3932;12,15;11;7,69;1;6;11;17;43
"N_Parkinglot.Ground.";3932;201,48;111;219,85;0;25;111;249;713
"N_Parkinglot.Basement.";3932;559,41;536;411,32;0;184;536;798;1321
"N_APT";3932;5,57;7;2,81;1;3;7;8;13
"N_manager";3932;6,33;6;3,23;1;5;6;8;14
"N_elevators";3932;11,24;11;7,85;0;5;11;16;27
"N_FacilitiesNearBy.PublicOffice.";3932;4,11;5;1,81;0;3;5;5;7
"N_FacilitiesNearBy.Hospital.";3932;1,29;1;0,48;0;1;1;2;2
"N_FacilitiesNearBy.Dpartmentstore.";3932;0,9;1;0,81;0;0;1;2;2
"N_FacilitiesNearBy.Mall.";3932;0,94;1;0,4;0;1;1;1;2
"N_FacilitiesNearBy.ETC.";3932;1,94;1;2,19;0;0;1;5;5
"N_FacilitiesNearBy.Park.";3932;0,65;1;0,67;0;0;1;1;2
"N_SchoolNearBy.Elementary.";3932;3;3;0,96;0;2;3;4;6
"N_SchoolNearBy.Middle.";3932;2,41;3;1,04;0;2;3;3;4
"N_SchoolNearBy.High.";3932;2,66;2;1,57;0;1;2;4;5
"N_SchoolNearBy.University.";3932;2,74;2;1,51;0;2;2;4;5
"N_FacilitiesInApt";3932;5,78;5;2,36;1;4;5;7;10
"N_FacilitiesNearBy.Total.";3932;9,83;9;3,5;0;8;9;13;16
"N_SchoolNearBy.Total.";3932;10,82;10;4,49;0;7;10;15;17
"SalePrice";3932;225857,43;212389;106272,5;32743;148230;212389;294690;585840
